,index,city,proj_number,country,location_info,country1,latitude,longitude,iso_alpha
0,0,Aachen,1,Germany,"Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany",Germany,50.776351,6.083862,DEU
1,1,Aarhus,1,Denmark,"Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark",Denmark,56.1496278,10.2134046,DNK
2,2,Ajaccio,1,France,"Ajaccio, South Corsica, Corsica, Metropolitan France, 20000, France",France,41.9263991,8.7376029,FRA
3,3,Alessandria,1,Italy,"Alessandria, Piedmont, Italy",Italy,44.83495335,8.745030419,ITA
4,4,Alingsås,1,Sweden,"Alingsås, Alingsås kommun, Västra Götaland County, 441 30, Sweden",Sweden,57.9299658,12.5329678,SWE
5,5,Alkmaar,1,Netherlands,"Alkmaar, North Holland, Netherlands",Netherlands,52.6008538,4.817099446,NLD
6,6,Almere,1,Netherlands,"Almere, Flevoland, Netherlands",Netherlands,52.3657098,5.2210432,NLD
7,7,Amsterdam,5,Netherlands,"Amsterdam, North Holland, Netherlands",Netherlands,52.3727598,4.8936041,NLD
8,8,Antalya,1,Turkey,"Antalya, Muratpaşa, Antalya, Mediterranean Region, 07050, Turkey",Turkey,36.8872942,30.7074549,TUR
9,9,Apeldoorn,1,Netherlands,"Apeldoorn, Gelderland, Netherlands",Netherlands,52.17957375,5.930077461,NLD
10,10,Asparrena,1,Spain,"Asparrena, Arabako lautada/Llanada Alavesa, Álava, Autonomous Community of the Basque Country, Spain",Spain,42.88625135,-2.28550751,ESP
11,11,Augsburg,1,Germany,"Augsburg, Bavaria, Germany",Germany,48.3668041,10.8986971,DEU
12,12,Ballerup,1,Denmark,"Ballerup, Måløv, Ballerup Municipality, Capital Region of Denmark, 2750, Denmark",Denmark,55.7303589,12.3612313,DNK
13,13,Barcelona,1,Spain,"Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",Spain,41.3828939,2.1774322,ESP
14,14,Belgrade,1,Serbia,"Belgrade, City of Belgrade, Central Serbia, 11000, Serbia",Serbia,44.8178131,20.4568974,SRB
15,15,Bilbao,3,Spain,"Bilbao, Biscay, Autonomous Community of the Basque Country, Spain",Spain,43.2630018,-2.9350039,ESP
16,16,Birštonas,1,Lithuania,"Birštonas, Birštono seniūnija, Birštonas Municipality, Kaunas County, Lithuania",Lithuania,54.6043509,24.0335131,LTU
17,17,Bolzano,2,Italy,"Bolzano - Bozen, South Tyrol, Trentino-Alto Adige/Südtirol, Italy",Italy,46.4981125,11.3547801,ITA
18,18,Bratislava,1,Slovakia,"Bratislava, Region of Bratislava, Slovakia",Slovakia,48.1435149,17.108279,SVK
19,19,Brescia,1,Italy,"Brescia, Lombardy, Italy",Italy,45.77958045,10.42587297,ITA
20,20,Bristol,1,United Kingdom,"Bristol, City of Bristol, West of England, England, United Kingdom",United Kingdom,51.4538022,-2.5972985,GBR
21,21,Budapest,1,Hungary,"Budapest, Central Hungary, Hungary",Hungary,47.4979937,19.0403594,HUN
22,22,Cerdanyola del Vallès,1,Spain,"Cerdanyola del Vallès, Vallès Occidental, Barcelona, Catalonia, 08193, Spain",Spain,41.4910324,2.1374969,ESP
23,23,Cernier,1,Switzerland,"Cernier, Val-de-Ruz, Neuchâtel, 2053, Switzerland",Switzerland,47.0768872,6.893812942,CHE
24,24,Cesis,1,Latvia,"Cēsis, Cēsu novads, Vidzeme, Latvia",Latvia,57.3131712,25.2748551,LVA
25,25,Chorzow,1,Poland,"Chorzów, Górnośląsko-Zagłębiowska Metropolia, Silesian Voivodeship, Poland",Poland,50.2885563,18.97044253,POL
26,26,Coventry,1,United Kingdom,"Coventry, West Midlands, West Midlands Combined Authority, England, United Kingdom",United Kingdom,52.4081812,-1.510477,GBR
27,27,Daugavpils,1,Latvia,"Daugavpils, Latgale, Latvia",Latvia,55.8712267,26.5159337,LVA
28,28,Delft,2,Netherlands,"Delft, South Holland, Netherlands",Netherlands,51.9994572,4.362724539,NLD
29,29,Dijon,1,France,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, Metropolitan France, 21000, France",France,47.3215806,5.0414701,FRA
30,30,Drammen,1,Norway,"Drammen, Viken, Norway",Norway,59.6964936,10.17564195,NOR
31,31,Dresden,1,Germany,"Dresden, Saxony, Germany",Germany,51.0493286,13.7381437,DEU
32,32,Drobeta Turnu Severin,1,Romania,"Drobeta-Turnu Severin, Mehedinți, Romania",Romania,44.6257835,22.6531975,ROU
33,33,Dundalk,1,Ireland,"Dundalk, The Municipal District of Dundalk, County Louth, Leinster, A91 RC44, Ireland",Ireland,54.0046033,-6.4008879,IRL
34,34,Eibar,1,Spain,"Eibar, Debabarrena, Gipuzkoa, Autonomous Community of the Basque Country, 20600, Spain",Spain,43.1842839,-2.4732748,ESP
35,35,Eindhoven,1,Netherlands,"Eindhoven, North Brabant, Netherlands",Netherlands,51.4392648,5.478633,NLD
36,36,Erlangen,1,Germany,"Erlangen, Bavaria, 91052, Germany",Germany,49.5928616,11.0056,DEU
37,37,Eskilstuna,1,Sweden,"Eskilstuna, Eskilstuna kommun, Södermanland County, 632 27, Sweden",Sweden,59.3717379,16.5051474,SWE
38,38,Espoo,1,Finland,"Espoo, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland",Finland,60.2047672,24.6568435,FIN
39,39,Evora,1,Portugal,"Évora, Portugal",Portugal,38.5707742,-7.9092808,PRT
40,40,Falkenberg,1,France,"Falkenberg, Falkenbergs kommun, Halland County, 311 21, Sweden",Sweden,56.904894,12.4912926,FRA
41,41,Firenze,1,Italy,"Florence, Metropolitan City of Florence, Tuscany, Italy",Italy,43.7698712,11.2555757,ITA
42,42,Galanta,1,Slovakia,"Galanta, District of Galanta, Region of Trnava, Western Slovakia, Slovakia",Slovakia,48.1910498,17.7270629,SVK
43,43,Galway,1,Ireland,"Galway City, County Galway, Connacht, Ireland",Ireland,53.2744122,-9.0490601,IRL
44,44,Geneva,1,Switzerland,"Geneva, Switzerland",Switzerland,46.2017559,6.1466014,CHE
45,45,Genoa,2,Italy,"Genoa, Liguria, Italy",Italy,44.40726,8.9338624,ITA
46,46,Glasgow,1,United Kingdom,"Glasgow, Glasgow City, Scotland, G2 9SF, United Kingdom",United Kingdom,55.8609825,-4.2488787,GBR
47,47,Göteborg,3,Sweden,"Gothenburg, Göteborgs Stad, Västra Götaland County, 411 10, Sweden",Sweden,57.7072326,11.9670171,SWE
48,48,Grenoble,3,France,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",France,45.1875602,5.7357819,FRA
49,49,Groningen,1,Netherlands,"Groningen, Netherlands",Netherlands,53.2190652,6.5680077,NLD
50,50,Halmstad,1,Sweden,"Halmstad, Halmstads kommun, Halland County, 302 46, Sweden",Sweden,56.6739826,12.8574827,SWE
51,51,Hamburg,1,Germany,"Hamburg, Germany",Germany,53.550341,10.000654,DEU
52,52,Hannover,1,Germany,"Hanover, Region Hannover, Lower Saxony, Germany",Germany,52.3744779,9.7385532,DEU
53,53,Hartberg,1,Austria,"Hartberg, Bezirk Hartberg-Fürstenfeld, Styria, 8230, Austria",Austria,47.2809371,15.9691769,AUT
54,54,Heerlen,2,Netherlands,"Heerlen, Limburg, Netherlands",Netherlands,50.8876735,5.9773285,NLD
55,55,Helsingborg,1,Sweden,"Helsingborg, Helsingborgs kommun, Skåne County, 252 68, Sweden",Sweden,56.0441984,12.7040684,SWE
56,56,Helsingør,1,Denmark,"Elsinore, Helsingør Municipality, Capital Region of Denmark, 3000, Denmark",Denmark,56.0348739,12.6130073,DNK
57,57,Helsinki,1,Finland,"Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland",Finland,60.1674881,24.9427473,FIN
58,58,Hillerød,1,Denmark,"Hillerød, Hillerød Municipality, Capital Region of Denmark, 3400, Denmark",Denmark,55.9285735,12.3063909,DNK
59,59,Høje-Taastrup,1,Denmark,"Høje-Taastrup Municipality, Capital Region of Denmark, Denmark",Denmark,55.65642635,12.24187275,DNK
60,60,Hvar,1,Croatia,"Hvar, Split-Dalmatia County, Croatia",Croatia,43.17389195,16.55652349,HRV
61,61,Innsbruck,2,Austria,"Innsbruck, Tyrol, Austria",Austria,47.2654296,11.3927685,AUT
62,62,Istanbul,3,Turkey,"Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey",Turkey,41.0091982,28.9662187,TUR
63,63,Jyväskylä,1,Finland,"Jyväskylä, Jyväskylä sub-region, Central Finland, Western and Central Finland, Mainland Finland, Finland",Finland,62.2393431,25.7458236,FIN
64,64,Köln,2,Germany,"Cologne, North Rhine-Westphalia, Germany",Germany,50.938361,6.959974,DEU
65,65,Kortrijk,1,Belgium,"Kortrijk, West Flanders, Flanders, Belgium",Belgium,50.8276429,3.2659884,BEL
66,66,Kranj,1,Slovenia,"Kranj, Slovenia",Slovenia,46.2432635,14.3549501,SVN
67,67,Kremsmünster,1,Austria,"Kremsmünster, Bezirk Kirchdorf, Upper Austria, 4550, Austria",Austria,48.0533652,14.128766,AUT
68,68,Laguna de Duero,1,Spain,"Laguna de Duero, Valladolid, Castile and León, 47140, Spain",Spain,41.582811,-4.7214404,ESP
69,69,Lapua,1,Finland,"Lapua, Seinäjoki sub-region, South Ostrobothnia, Western and Central Finland, Mainland Finland, Finland",Finland,62.9702783,23.0068628,FIN
70,70,Lecce,1,Italy,"Lecce, Apulia, Italy",Italy,40.1522173,18.22606283,ITA
71,71,Leipzig,1,Germany,"Leipzig, Saxony, Germany",Germany,51.3406321,12.3747329,DEU
72,72,Limerick,1,Ireland,"Limerick, County Limerick, Munster, Ireland",Ireland,52.661252,-8.6301239,IRL
73,73,Lisbon,1,Portugal,"Lisbon, Portugal",Portugal,38.7077507,-9.1365919,PRT
74,74,Ljubljana,1,Slovenia,"Ljubljana, Upravna Enota Ljubljana, Slovenia",Slovenia,46.0500268,14.5069289,SVN
75,75,London,5,United Kingdom,"London, Greater London, England, United Kingdom",United Kingdom,51.5073219,-0.1276474,GBR
76,76,Lulea,1,Sweden,"Luleå, Luleå kommun, Norrbotten County, 971 28, Sweden",Sweden,65.5831187,22.1459535,SWE
77,77,Lund,1,Sweden,"Lund, Lund Municipality, Skåne County, Sweden",Sweden,55.7029296,13.1929449,SWE
78,78,Lyon,3,France,"Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France",France,45.7578137,4.8320114,FRA
79,79,Måbjerg,1,Denmark,"Måbjerg Bioenergi, Holstebro Municipality, Central Denmark Region, Denmark",Denmark,56.3980826,8.616277018,DNK
80,80,Madrid,3,Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, Spain",Spain,40.4167047,-3.7035825,ESP
81,81,Mafra,1,Portugal,"Mafra, Região Geográfica Imediata de Mafra, Região Geográfica Intermediária de Joinville, Santa Catarina, South Region, Brazil",Portugal,38.936958,-9.32593,PRT
82,82,Malmö,2,Sweden,"Malmo, Malmö kommun, Skåne County, Sweden",Sweden,55.6052931,,SWE
83,83,Manchester,1,United Kingdom,"Manchester, Lancashire, England, M60 2UT, United Kingdom",United Kingdom,53.4794892,-2.2451148,GBR
84,84,Milano,2,Italy,"Milan, Lombardy, Italy",Italy,45.4641943,9.1896346,ITA
85,85,Milton Keynes,1,United Kingdom,"Milton Keynes, England, United Kingdom",United Kingdom,52.0406502,-0.7594092,GBR
86,86,Mödling,1,Austria,"Gemeinde Mödling, Bezirk Mödling, Lower Austria, 2340, Austria",Austria,48.0855922,16.2833526,AUT
87,87,Montieri,1,Italy,"Montieri, Grosseto, Tuscany, 58026, Italy",Italy,43.1306766,11.0162788,ITA
88,88,Mórahalom,1,Hungary,"Mórahalom, Mórahalmi járás, Csongrád-Csanád County, Southern Great Plain, Great Plain and North, 6782, Hungary",Hungary,46.2163238,19.8894811,HUN
89,89,München,3,Germany,"Munich, Bavaria, Germany",Germany,48.1371079,11.5753822,DEU
90,90,Murcia,1,Spain,"Murcia, Área Metropolitana de Murcia, Region of Murcia, Spain",Spain,37.9923795,-1.1305431,ESP
91,91,Nantes,2,France,"Nantes, Loire-Atlantique, Pays de la Loire, Metropolitan France, France",France,47.2186371,-1.5541362,FRA
92,92,Napoli,1,Italy,"Naples, Napoli, Campania, Italy",Italy,40.8358846,14.2487679,ITA
93,93,Neckarsulm,1,Germany,"Neckarsulm, Verwaltungsgemeinschaft Neckarsulm, Landkreis Heilbronn, Baden-Württemberg, 74172, Germany",Germany,49.191133,9.2248391,DEU
94,94,Neuchâtel,1,Switzerland,"Neuchâtel, Switzerland",Switzerland,46.9895828,6.9292641,CHE
95,95,Nice,1,France,"Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France",France,43.7009358,7.2683912,FRA
96,96,North Tipperary,1,Ireland,"North Tipperary, Rincon Mobile Home Park Village, Tucson, Pima County, Arizona, 85730, United States",United States,52.785871,-8.006468,IRL
97,97,Nottingham,1,United Kingdom,"Nottingham, Nottinghamshire, England, United Kingdom",United Kingdom,52.9534193,-1.1496461,GBR
98,98,Óbuda,1,Hungary,"Óbuda, 3rd district, Budapest, Central Hungary, Hungary",Hungary,47.5385183,19.0397341,HUN
99,99,Oslo,1,Norway,"Oslo, Norway",Norway,59.9133301,10.7389701,NOR
100,100,Ostfildern,1,Germany,"Ostfildern, Landkreis Esslingen, Baden-Württemberg, 73760, Germany",Germany,48.7178603,9.2630693,DEU
101,101,Oulu,2,Finland,"Oulu, Oulu sub-region, North Ostrobothnia, Regional State Administrative Agency for Northern Finland, Mainland Finland, Finland",Finland,65.0118734,25.4716809,FIN
102,102,Palma de Mallorca,1,Spain,"Palma, Balearic Islands, Spain",Spain,39.5695818,2.6500745,ESP
103,103,Pamplona,1,Spain,"Pamplona, Metropolialdea / Área Metropolitana, Navarre, Spain",Spain,42.8182536,-1.6440304,ESP
104,104,Paris,1,France,"Paris, Ile-de-France, Metropolitan France, France",France,48.8588897,2.320041022,FRA
105,105,Pernik,1,Bulgaria,"Pernik, Bulgaria",Bulgaria,42.628442,22.88231187,BGR
106,106,Pisa,1,Italy,"Pisa, Tuscany, Italy",Italy,43.7159395,10.4018624,ITA
107,107,Plymouth,1,United Kingdom,"Plymouth, England, United Kingdom",United Kingdom,50.3712659,-4.1425658,GBR
108,108,Redange,1,France,"Rédange, Thionville, Moselle, Grand Est, Metropolitan France, 57390, France",France,49.493259,5.9189504,FRA
109,109,Riihimäki,1,Finland,"Riihimäki, Riihimaki sub-region, Kanta-Häme, Southern Finland, Mainland Finland, Finland",Finland,60.7390089,24.7728148,FIN
110,110,Rijssen,1,Netherlands,"Rijssen, Rijssen-Holten, Overijssel, Netherlands",Netherlands,52.3080276,6.5213004,NLD
111,111,Roosendaal,1,Netherlands,"Roosendaal, North Brabant, Netherlands",Netherlands,51.5331484,4.4561276,NLD
112,112,Rotterdam,2,Netherlands,"Rotterdam, South Holland, Netherlands",Netherlands,51.9244424,4.47775,NLD
113,113,Rottne,1,Sweden,"Rottne, Växjö kommun, Kronoberg County, 363 30, Sweden",Sweden,57.0216769,14.8921004,SWE
114,114,Saint-Quentin-en-Yvelines,1,France,"Communauté d'agglomération de Saint-Quentin-en-Yvelines, Yvelines, Ile-de-France, Metropolitan France, France",France,48.7818613,2.015952119,FRA
115,115,Salzburg,1,Austria,"Salzburg, 5020, Austria",Austria,47.7981346,13.0464806,AUT
116,116,San Sebastian,3,Spain,"San Sebastián, Donostialdea, Gipuzkoa, Autonomous Community of the Basque Country, Spain",Spain,43.3224219,-1.9838889,ESP
117,117,Santiago de Compostela,1,Spain,"Santiago de Compostela, Santiago, A Coruña, Galicia, 15705, Spain",Spain,42.8804219,-8.5458608,ESP
118,118,Sestao,1,Spain,"Sestao, Biscay, Autonomous Community of the Basque Country, 48910, Spain",Spain,43.309341,-3.0074501,ESP
119,119,Sierre,1,Switzerland,"Sierre, Wallis, 3960, Switzerland",Switzerland,46.2922522,7.5323195,CHE
120,120,Słubice,1,Germany,"Frankfurt (Oder), Brandenburg, Germany",Germany,52.3412273,14.549452,DEU
121,121,Sofia,2,Bulgaria,"Sofia, Sofia City, Sofia-City, Bulgaria",Bulgaria,42.6977028,23.3217359,BGR
122,122,Soma,1,Turkey,"Soma, Manisa, Aegean Region, Turkey",Turkey,39.21086445,27.63408226,TUR
123,123,Sonderborg,1,Denmark,"Sønderborg, Sønderborg Municipality, Region of Southern Denmark, 6400, Denmark",Denmark,54.9089186,9.7897999,DNK
124,124,Stambruges,1,Belgium,"Stambruges, Belœil, Ath, Hainaut, Wallonia, 7973, Belgium",Belgium,50.5086579,3.7192008,BEL
125,125,Stavanger,1,Norway,"Stavanger, Rogaland, 4006, Norway",Norway,58.9699509,5.7318061,NOR
126,126,Stenløse,1,Denmark,"Stenløse, Egedal Municipality, Capital Region of Denmark, 3660, Denmark",Denmark,55.7682789,12.1985549,DNK
127,127,Stockholm,1,Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",Sweden,59.3251172,18.0710935,SWE
128,128,Stoke-on-Trent,1,United Kingdom,"Stoke-on-Trent, England, United Kingdom",United Kingdom,53.0162014,-2.1812607,GBR
129,129,Stuttgart,1,Germany,"Stuttgart, Baden-Württemberg, Germany",Germany,48.7784485,9.1800132,DEU
130,130,Suonenjoki,1,Finland,"Suonenjoki, Inner Savonia, North Savo, Regional State Administrative Agency for Eastern Finland, Mainland Finland, Finland",Finland,62.6241926,27.1245609,FIN
131,131,Szentendre,2,Hungary,"Szentendre, Szentendrei járás, Pest, Central Hungary, Hungary",Hungary,47.6677606,19.0760467,HUN
132,132,Tallinn,1,Estonia,"Tallinn, Harju maakond, Estonia",Estonia,59.4372155,24.7453688,EST
133,133,Tampere,2,Finland,"Tampere, Tampere sub-region, Pirkanmaa, Western and Central Finland, Mainland Finland, Finland",Finland,61.4980214,23.7603118,FIN
134,134,Tartu,2,Estonia,"Tartu, Tartu linn, Tartu maakond, Estonia",Estonia,58.3801207,26.72245,EST
135,135,Tepebasi,1,Turkey,"Tepebaşı Mahallesi, Kırıkkale, Central Anatolia Region, Turkey",Turkey,39.8423459,33.5099289,TUR
136,136,Torino,1,Italy,"Turin, Torino, Piedmont, Italy",Italy,45.0677551,7.6824892,ITA
137,137,Trento,1,Italy,"Provincia di Trento, Trentino-Alto Adige/Südtirol, Italy",Italy,46.1030443,11.12984033,ITA
138,138,Trondheim,2,Norway,"Trondheim, Trøndelag, Norway",Norway,63.4305658,10.3951929,NOR
139,139,Tudela,1,Spain,"Tudela, Erribera / Ribera, Navarre, 31500, Spain",Spain,42.063972,-1.6053391,ESP
140,140,Tulln,1,Austria,"Gemeinde Tulln an der Donau, Bezirk Tulln, Lower Austria, 3430, Austria",Austria,48.3311686,16.0567744,AUT
141,141,Turku,2,Finland,"Turku, Turku sub-region, Southwest Finland, South-Western Finland, Mainland Finland, Finland",Finland,60.4517531,22.2670522,FIN
142,142,Umeå,1,Sweden,"Umeå, Umeå kommun, Västerbotten County, Sweden",Sweden,63.8256568,20.2630745,SWE
143,143,Utrecht,1,Netherlands,"Utrecht, Netherlands",Netherlands,52.0809856,5.127683969,NLD
144,144,Valby,1,Denmark,"Valby, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1805, Denmark",Denmark,55.6618019,12.5169523,DNK
145,145,Valencia,2,Spain,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",Spain,39.4697065,-0.3763353,ESP
146,146,Valladolid,3,Spain,"Valladolid, Castile and León, Spain",Spain,41.6521328,-4.728562,ESP
147,147,Varberg,1,Sweden,"Varberg, Varbergs kommun, Halland County, 432 41, Sweden",Sweden,57.1057412,12.2502949,SWE
148,148,Växjö,2,Sweden,"Växjö, Växjö kommun, Kronoberg County, 351 04, Sweden",Sweden,56.8787183,14.8094385,SWE
149,149,Versailles,1,France,"Versailles, Yvelines, Ile-de-France, Metropolitan France, 78000, France",France,48.8035403,2.1266886,FRA
150,150,Vienna,2,Austria,"Vienna, Austria",Austria,48.2083537,16.3725042,AUT
151,151,Viladecans,1,Spain,"Viladecans, Baix Llobregat, Barcelona, Catalonia, 08840, Spain",Spain,41.3163083,2.0156034,ESP
152,152,Vitoria-Gasteiz,2,Spain,"Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Álava, Autonomous Community of the Basque Country, Spain",Spain,42.8465088,-2.6724025,ESP
153,153,Voiron,1,France,"Voiron, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38500, France",France,45.3631386,5.5910751,FRA
154,154,Warsaw,1,Poland,"Warsaw, Masovian Voivodeship, Poland",Poland,52.2319581,21.0067249,POL
155,155,Weilerbach,1,Germany,"Weilerbach, Landkreis Kaiserslautern, Rhineland-Palatinate, 67685, Germany",Germany,49.482492,7.6323501,DEU
156,156,Weiz / Gleisdorf,1,Austria,"Gleisdorf, Bezirk Weiz, Styria, 8200, Austria",Austria,47.106751,15.71000656,AUT
157,157,Zagorje,1,Croatia,"Zagorje, Općina Kršan, Istria County, 52234, Croatia",Croatia,45.1280743,14.2050615,HRV
158,158,Zaragoza,2,Spain,"Zaragoza, Aragon, Spain",Spain,41.6521342,-0.8809428,ESP
159,159,Zlín,1,Czechia,"Zlín, okres Zlín, Zlínský kraj, Central Moravia, Czechia",Czechia,49.226766,17.6667415,CZE
